,Name_of_product,Specifications,Price,Discount,Image_url
0,CAMPUS,HURRICANE Running Shoes For Men,₹768,40% off,https://rukminim1.flixcart.com/image/0/0/ku4ezrk0/shoe/9/b/9/7-6g-842-7-campus-blk-n-org-original-imag7b6wxh2kzgjf.jpeg?q=50
1,mi,Pro Running Running Shoes For Men,"₹2,999",50% off,https://rukminim1.flixcart.com/image/0/0/kzygpzk0/shoe/l/k/f/-original-imagbumkhpzmzd7f.jpeg?q=50
2,World Wear Footwear,Exclusive Affordable Collection of Trendy & Stylish Spo...,₹249,75% off,https://rukminim1.flixcart.com/image/0/0/kqjtd3k0/shoe/k/4/l/10-combo-2-9273-9373-world-wear-footwear-multicolor-original-imag4j6nhaz9affe.jpeg?q=50
3,ASIAN,wndr-13 sports shoes for men | Latest Stylish Casual sp...,₹498,28% off,https://rukminim1.flixcart.com/image/0/0/jur9nrk0/shoe/k/b/a/wonder-1313-7-asian-grey-orange-original-imaffbmzjc5hmagy.jpeg?q=50
4,BIRDE,Running Shoes For Men,₹299,70% off,https://rukminim1.flixcart.com/image/0/0/krkyt8w0/shoe/q/u/b/5-au-brd-406-gry-5-birde-grey-original-imag5ccyzzwrwwfh.jpeg?q=50
5,HOTSTYLE,Running Shoes For Men,₹258,48% off,https://rukminim1.flixcart.com/image/0/0/kq6yefk0/shoe/p/s/r/10-fashion-star-black-165-beige-10-hotstyle-beige-black-original-imag4992vm7yfvfq.jpeg?q=50
6,BRUTON,Trendy Sports Running Running Shoes For Men,₹299,76% off,https://rukminim1.flixcart.com/image/0/0/kmwcuq80/shoe/w/u/s/7-444-gry-org-bruton-orange-original-imagfp7fzz5ftzfc.jpeg?q=50
7,TR,Running Shoes For Men,₹399,73% off,https://rukminim1.flixcart.com/image/0/0/l2arp8w0/shoe/x/4/0/8-35-dunkaston-white-original-imagdzfhekfz6gr8.jpeg?q=50
8,World Wear Footwear,Exclusive Range of Stylish Comfortable Sports Sneakers ...,₹297,70% off,https://rukminim1.flixcart.com/image/0/0/ktizdzk0/shoe/y/b/x/7-ws-9310-tying-grey-original-imag6ut3hzm2zyqm.jpeg?q=50
9,Absolute comfort,Sneakers For Men,₹249,75% off,https://rukminim1.flixcart.com/image/0/0/kpbipow0/shoe/6/o/l/10-520-absolute-comfort-black-red-original-imag3kqehtqe4vgq.jpeg?q=50
10,World Wear Footwear,Stylish Casual Walking Comfortable Sports Running Shoes...,₹299,70% off,https://rukminim1.flixcart.com/image/0/0/kuvkcy80/shoe/g/x/m/9-9312-9-world-wear-footwear-blue-original-imag7w9xrfttjhnb.jpeg?q=50
11,ASIAN,Crystal-13 Blue Sports Transparent Sole Technology Runn...,"₹1,399",39% off,https://rukminim1.flixcart.com/image/0/0/kzblocw0/shoe/i/r/m/8-crystal-13cwhtblue-asian-blue-original-imagbdayn9m5hshu.jpeg?q=50
12,aadi,Running Shoes For Men,₹364,63% off,https://rukminim1.flixcart.com/image/0/0/k3lwuq80/shoe/z/v/h/mrj1324-9-aadi-black-original-imafmzfc2hyze9tv.jpeg?q=50
13,BRUTON,Trendy Men Sports Running Running Shoes For Men,₹299,76% off,https://rukminim1.flixcart.com/image/0/0/kqse07k0/shoe/z/i/5/6-442-blk-gld-40-bruton-black-original-imag4q6ntfwkfzna.jpeg?q=50
14,Kraasa,Running Shoes For Men,₹299,70% off,https://rukminim1.flixcart.com/image/0/0/l29c9e80/shoe/u/o/v/9-sp7235-kraasa-white-original-imagdn4adzndtapz.jpeg?q=50
